carat,cut,color,clarity,depth,table,x,y,z
0.7,2,1,3,62.0,56.0,5.71,5.74,3.55
0.29,4,3,5,61.7,56.0,4.27,4.3,2.64
0.5,2,5,5,61.6,54.0,5.11,5.14,3.16
1.01,1,1,2,64.3,59.0,6.28,6.31,4.05
0.55,2,0,5,61.0,56.0,5.31,5.28,3.23
1.02,3,2,2,61.8,59.0,6.45,6.39,3.97
1.31,3,4,2,59.3,59.0,7.18,7.13,4.24
0.3,2,4,5,62.1,56.0,4.32,4.34,2.69
0.34,2,1,3,61.3,55.0,4.49,4.52,2.76
0.5,4,0,5,60.8,56.0,5.14,5.16,3.13
1.01,3,1,6,61.6,58.0,6.57,6.45,4.01
0.39,4,6,4,63.1,56.0,4.7,4.62,2.94
0.35,2,4,1,60.8,56.0,4.61,4.6,2.8
1.12,3,4,3,61.9,58.0,6.66,6.74,4.15
1.01,3,4,5,61.6,59.0,6.41,6.39,3.94
0.32,2,0,3,61.8,55.0,4.38,4.42,2.72
0.3,1,6,2,63.8,56.0,4.23,4.26,2.71
0.58,2,5,3,61.3,56.0,5.38,5.45,3.32
0.91,2,3,2,62.6,57.0,6.16,6.21,3.87
1.72,0,6,0,68.5,59.0,7.31,7.24,4.98
2.25,3,6,2,61.8,61.0,8.46,8.39,5.21
0.31,2,1,7,61.4,57.0,4.37,4.39,2.69
1.01,4,0,5,60.6,56.0,6.45,6.51,3.93
0.36,3,2,4,60.7,58.0,4.57,4.62,2.79
0.9,0,4,5,64.7,58.0,5.98,6.01,3.88
0.34,2,4,7,60.9,55.0,4.52,4.54,2.75
0.23,1,2,5,63.8,57.0,3.93,3.84,2.48
0.7,4,3,2,59.1,62.0,5.8,5.91,3.46
0.32,3,1,7,59.9,58.0,4.5,4.45,2.68
0.7,3,0,1,60.0,59.0,5.75,5.81,3.47
0.41,3,2,3,59.0,58.0,4.87,4.89,2.88
0.46,2,0,5,62.7,57.0,4.93,4.89,3.08
0.3,2,1,4,61.8,56.0,4.32,4.35,2.68
1.52,0,4,0,65.4,62.0,7.1,7.02,4.62
0.74,2,3,3,61.9,55.0,5.82,5.84,3.61
0.3,2,0,2,61.7,56.0,4.31,4.35,2.67
0.72,2,2,4,60.5,56.0,5.82,5.85,3.53
2.0,3,2,2,58.8,61.0,8.29,8.23,4.86
0.32,1,4,5,63.1,55.0,4.33,4.36,2.74
0.5,1,0,3,58.5,64.0,5.2,5.12,3.02
1.51,4,2,7,63.1,56.0,7.32,7.26,4.6
1.13,2,5,3,61.4,56.0,6.69,6.71,4.12
1.11,2,5,2,62.4,55.0,6.6,6.64,4.13
1.08,4,4,5,62.2,57.0,6.5,6.55,4.06
1.02,2,2,5,62.9,57.0,6.42,6.33,4.01
0.71,3,3,2,61.2,61.0,5.71,5.66,3.48
2.01,3,5,5,62.6,59.0,8.04,8.01,5.02
1.0,2,1,5,61.6,57.0,6.38,6.44,3.95
1.5,4,6,7,63.3,56.0,7.18,7.29,4.58
0.39,2,1,6,60.8,58.0,4.72,4.76,2.88
0.58,3,2,3,63.0,56.0,5.34,5.26,3.34
2.06,2,5,5,59.2,57.0,8.39,8.29,4.94
1.07,3,5,2,61.2,58.0,6.62,6.55,4.03
0.72,2,2,2,61.0,55.0,5.78,5.85,3.55
0.71,3,5,5,62.8,59.0,5.67,5.64,3.55
0.5,4,4,2,60.9,61.0,5.06,5.15,3.11
2.15,2,5,3,61.7,55.0,8.43,8.24,5.14
0.85,2,1,5,59.3,57.0,6.19,6.22,3.68
0.62,4,2,5,59.8,58.0,5.55,5.59,3.33
0.92,3,6,5,60.9,62.0,6.31,6.26,3.83
1.06,3,5,2,61.9,57.0,6.61,6.51,4.06
0.31,2,3,6,62.8,57.0,4.33,4.3,2.71
0.41,2,3,6,60.2,57.0,4.8,4.83,2.9
0.9,4,5,4,63.5,57.0,6.06,6.03,3.84
0.56,2,1,5,61.7,54.0,5.28,5.35,3.28
0.46,4,3,4,60.0,56.0,5.05,5.1,3.04
0.4,2,1,6,61.7,57.0,4.7,4.74,2.91
1.04,2,5,2,59.7,56.0,6.6,6.54,3.92
0.5,4,3,2,60.0,63.0,5.06,5.1,3.05
0.52,3,3,7,61.2,59.0,5.16,5.14,3.15
1.19,4,0,3,61.1,58.0,6.84,6.88,4.19
0.71,3,3,5,60.4,61.0,5.81,5.77,3.5
0.4,3,1,2,62.0,55.0,4.74,4.68,2.92
0.92,4,4,4,59.7,63.0,6.34,6.29,3.77
0.33,2,3,5,61.2,55.0,4.46,4.49,2.74
0.32,2,3,4,62.3,55.0,4.39,4.41,2.74
1.31,2,5,4,62.1,56.0,7.01,7.04,4.36
1.51,2,5,2,61.2,60.0,7.39,7.37,4.52
1.14,3,5,5,62.8,60.0,6.68,6.59,4.17
0.34,2,1,2,61.2,57.0,4.48,4.51,2.75
0.82,2,1,3,62.6,55.0,5.94,5.98,3.73
0.42,2,4,4,61.8,55.0,4.82,4.85,2.99
1.02,3,5,2,62.7,55.0,6.48,6.41,4.04
0.48,1,3,4,58.2,59.2,5.09,5.14,2.98
0.48,1,3,4,58.6,62.0,5.14,5.2,3.03
0.3,1,1,6,61.5,62.0,4.28,4.34,2.65
0.7,1,2,3,59.0,57.0,5.8,5.83,3.43
0.72,2,0,3,61.1,58.0,5.76,5.79,3.53
0.3,4,3,2,59.8,57.0,4.32,4.37,2.6
0.81,2,1,3,62.0,55.0,6.0,5.96,3.71
0.45,3,0,6,61.5,55.0,5.02,4.97,3.07
1.04,1,6,3,63.8,56.0,6.36,6.32,4.05
1.13,3,3,3,60.0,61.0,6.78,6.71,4.05
0.31,3,1,5,61.0,59.0,4.39,4.33,2.66
1.06,3,2,2,62.4,58.0,6.56,6.51,4.07
1.65,3,3,0,62.0,59.0,7.57,7.53,4.68
0.84,0,0,3,64.5,60.0,5.92,5.84,3.79
1.02,2,1,3,62.8,55.0,6.43,6.4,4.03
1.12,2,5,5,61.2,54.0,6.74,6.77,4.13
1.01,0,3,5,64.4,58.0,6.25,6.18,4.0
0.4,2,3,6,61.6,57.0,4.76,4.75,2.93
0.57,2,3,4,62.1,56.0,5.33,5.3,3.3
1.03,2,3,3,60.4,56.0,6.56,6.53,3.95
0.4,2,3,1,62.2,55.0,4.73,4.76,2.95
1.64,2,1,2,60.7,55.0,7.67,7.64,4.65
0.74,4,6,4,62.7,58.0,5.75,5.8,3.62
0.5,2,2,7,60.7,57.0,5.12,5.16,3.12
0.51,2,1,5,62.6,55.0,5.08,5.11,3.19
0.27,4,1,6,59.9,57.0,4.23,4.25,2.54
1.24,2,0,7,61.5,57.0,6.88,6.94,4.25
1.13,3,3,2,60.9,58.0,6.75,6.72,4.1
0.92,3,2,2,62.0,60.0,6.26,6.19,3.86
0.31,3,4,4,62.6,60.0,4.32,4.3,2.7
0.4,3,3,2,59.6,61.0,4.76,4.74,2.83
0.71,4,4,2,61.2,56.0,5.69,5.72,3.49
0.3,1,4,3,63.9,57.0,4.27,4.24,2.72
0.51,2,0,5,62.2,58.0,5.1,5.12,3.18
1.23,4,1,6,61.2,59.0,6.9,6.98,4.25
0.76,2,3,5,61.3,56.0,5.9,5.94,3.63
0.3,2,1,7,61.2,56.0,4.34,4.38,2.67
0.77,4,4,7,61.1,56.0,5.89,5.92,3.61
1.14,3,5,2,60.1,60.0,6.81,6.76,4.08
0.74,4,2,2,62.7,58.0,5.71,5.78,3.6
1.83,3,5,4,61.9,57.0,7.91,7.85,4.88
1.24,2,5,2,62.1,56.0,6.84,6.88,4.26
1.24,2,0,4,61.6,55.0,6.92,6.9,4.26
0.53,2,2,3,62.4,54.0,5.19,5.22,3.25
1.0,1,3,2,62.5,62.0,6.32,6.36,3.96
0.33,2,1,5,60.8,57.0,4.47,4.45,2.71
0.42,2,0,7,61.7,55.0,4.79,4.83,2.97
0.31,3,5,4,62.3,59.0,4.35,4.29,2.69
0.31,2,0,5,62.2,57.0,4.31,4.34,2.69
0.4,3,0,2,60.9,60.0,4.78,4.74,2.9
0.31,2,3,1,62.2,55.0,4.35,4.4,2.72
1.52,3,3,6,60.4,59.0,7.48,7.38,4.49
0.71,3,3,4,60.9,58.0,5.77,5.73,3.5
1.01,3,1,5,60.4,57.0,6.49,6.45,3.91
2.02,2,4,2,62.3,56.0,8.11,8.06,5.04
0.7,1,5,3,63.5,56.0,5.59,5.63,3.56
0.56,3,0,2,61.4,58.0,5.33,5.29,3.26
1.0,1,0,3,64.3,59.0,6.21,6.3,4.02
0.35,4,1,5,62.1,59.0,4.46,4.49,2.78
0.7,4,2,3,61.2,57.0,5.67,5.74,3.49
2.04,4,5,5,62.5,58.0,8.09,8.22,5.1
1.01,3,4,5,61.3,59.0,6.44,6.48,3.96
0.32,3,3,7,61.6,60.0,4.4,4.37,2.7
0.41,2,1,4,62.7,57.0,4.76,4.72,2.97
0.72,2,5,5,61.1,56.0,5.76,5.82,3.54
0.73,2,1,2,60.1,56.0,5.91,5.87,3.54
0.7,2,4,5,63.0,55.0,5.7,5.67,3.58
0.55,3,0,2,61.6,56.0,5.28,5.24,3.24
1.2,3,0,3,60.2,60.0,6.94,6.81,4.14
0.55,4,6,2,62.5,57.0,5.22,5.24,3.27
0.85,4,1,5,60.2,60.0,6.09,6.14,3.68
2.01,3,4,5,62.8,58.0,7.99,7.9,4.99
0.34,2,0,6,61.7,57.0,4.49,4.52,2.78
0.81,2,1,7,62.2,53.7,5.97,5.99,3.72
0.41,2,1,2,62.1,54.0,4.76,4.81,2.97
0.61,2,4,4,60.8,56.0,5.51,5.47,3.34
1.05,4,0,5,62.9,57.0,6.39,6.51,4.06
0.43,3,2,2,60.6,59.0,4.87,4.84,2.94
1.14,4,2,2,61.0,60.0,6.67,6.74,4.09
1.11,3,4,3,61.5,59.0,6.61,6.56,4.05
0.53,2,1,4,60.4,57.0,5.27,5.26,3.18
1.62,2,2,2,62.7,56.0,7.5,7.44,4.68
1.56,4,6,3,61.4,58.0,7.4,7.45,4.56
0.24,2,2,6,60.8,55.0,4.03,4.06,2.46
0.33,4,1,6,61.5,57.0,4.44,4.48,2.75
0.31,2,4,7,62.4,57.0,4.32,4.36,2.71
1.68,3,3,4,58.2,57.0,7.89,7.85,4.58
0.55,4,1,5,61.7,59.0,5.2,5.27,3.23
0.5,1,5,5,64.6,59.0,4.9,4.95,3.18
0.56,2,0,2,60.5,57.0,5.36,5.31,3.23
1.2,1,6,5,63.7,58.0,6.68,6.61,4.23
1.5,4,1,5,59.4,62.0,7.4,7.48,4.42
0.57,2,4,3,62.3,56.0,5.31,5.28,3.3
0.7,0,3,4,57.1,62.0,5.89,5.94,3.38
0.43,3,3,6,62.2,58.0,4.78,4.83,2.99
0.51,2,4,4,62.0,56.0,5.14,5.17,3.2
0.9,4,3,5,62.5,58.0,6.1,6.15,3.83
1.01,3,4,2,58.2,62.0,6.54,6.48,3.78
0.71,0,0,5,56.9,65.0,5.89,5.84,3.34
0.32,3,2,2,60.7,62.0,4.43,4.4,2.68
0.31,3,4,1,60.8,59.0,4.39,4.36,2.66
0.5,2,3,2,61.7,57.0,5.06,5.08,3.13
0.3,2,6,6,61.8,56.0,4.31,4.33,2.67
0.74,4,1,3,63.0,58.0,5.73,5.77,3.62
0.31,2,4,1,62.1,54.0,4.37,4.33,2.7
0.74,3,0,3,61.8,59.0,5.85,5.83,3.61
0.8,2,4,2,62.4,57.0,5.97,5.95,3.72
0.58,1,3,2,63.5,56.0,5.28,5.34,3.37
0.31,2,1,2,62.8,57.0,4.34,4.32,2.72
0.36,2,2,3,62.2,55.0,4.57,4.59,2.85
0.34,4,3,2,61.5,56.0,4.45,4.52,2.76
0.33,2,2,7,61.4,57.0,4.43,4.46,2.73
1.07,2,5,6,62.3,57.0,6.56,6.6,4.1
2.0,3,4,2,63.0,56.0,7.98,7.93,5.01
0.3,4,4,5,60.9,61.0,4.32,4.35,2.64
0.91,3,4,2,60.9,58.0,6.26,6.22,3.8
0.3,2,1,5,61.8,56.0,4.3,4.34,2.67
0.34,2,1,2,61.4,54.0,4.53,4.5,2.77
1.82,3,5,4,61.4,60.0,7.8,7.83,4.8
0.5,2,0,7,60.7,57.0,5.2,5.15,3.14
1.5,4,2,2,61.2,57.0,7.34,7.37,4.5
0.32,2,1,5,62.0,55.0,4.46,4.38,2.74
0.3,4,1,2,61.9,58.0,4.27,4.33,2.66
0.31,2,2,4,61.0,56.0,4.38,4.4,2.68
1.12,3,1,3,61.1,58.0,6.73,6.69,4.1
1.12,2,5,2,62.0,56.0,6.69,6.64,4.13
0.52,2,0,7,61.4,56.0,5.23,5.2,3.2
0.73,4,1,5,61.5,58.0,5.71,5.8,3.54
0.51,3,1,5,61.0,60.0,5.12,5.17,3.14
0.41,2,4,2,62.6,55.0,4.77,4.79,2.99
0.64,4,4,7,60.0,59.0,5.59,5.65,3.37
1.06,2,4,3,62.8,57.0,6.52,6.56,4.11
1.0,3,3,4,62.9,60.0,6.36,6.29,3.98
0.37,2,5,4,60.8,56.0,4.67,4.71,2.85
0.41,4,4,4,62.0,56.0,4.74,4.78,2.95
0.51,3,1,3,62.0,57.0,5.13,5.09,3.17
0.4,4,1,6,62.8,57.0,4.65,4.71,2.94
0.5,3,0,3,62.9,58.0,5.06,5.01,3.17
0.3,2,2,1,61.3,56.0,4.3,4.34,2.65
1.68,2,6,4,61.1,57.0,7.64,7.7,4.69
1.09,2,3,2,62.4,56.0,6.57,6.61,4.11
0.24,4,2,6,58.7,59.0,4.04,4.1,2.39
0.31,2,1,4,61.8,56.0,4.37,4.34,2.69
0.3,2,2,6,61.8,54.0,4.34,4.36,2.69
1.51,4,3,5,58.9,60.0,7.47,7.55,4.42
0.71,3,1,2,60.1,60.0,5.78,5.73,3.45
2.07,3,4,3,59.6,60.0,8.3,8.24,4.93
0.51,2,1,2,61.5,55.0,5.16,5.18,3.18
1.01,3,1,3,59.5,59.0,6.58,6.54,3.9
0.51,3,0,2,60.3,59.0,5.22,5.2,3.14
1.2,3,0,5,61.1,58.0,6.85,6.83,4.18
0.96,4,4,5,61.2,57.0,6.34,6.38,3.89
1.28,3,4,3,61.9,56.0,7.02,6.94,4.32
0.33,2,0,4,60.9,57.0,4.5,4.47,2.73
0.4,4,1,6,61.2,61.0,4.7,4.74,2.89
0.51,3,4,5,60.9,60.0,5.19,5.16,3.15
0.57,1,2,4,60.0,61.0,5.35,5.38,3.22
0.74,3,5,3,59.8,58.0,5.93,5.88,3.53
1.01,4,1,3,59.4,59.0,6.49,6.51,3.86
0.41,3,1,4,62.8,58.0,4.72,4.7,2.96
0.32,2,1,7,61.9,54.0,4.41,4.44,2.74
0.41,2,4,6,62.7,54.0,4.79,4.78,3.0
1.43,0,1,2,65.1,56.0,7.1,7.03,4.61
0.3,4,2,2,62.8,56.0,4.24,4.26,2.67
1.1,4,5,2,63.5,57.0,6.55,6.53,4.15
0.32,2,2,4,61.0,54.0,4.42,4.44,2.7
0.9,4,3,3,62.3,58.0,6.15,6.2,3.85
1.4,3,0,4,62.8,58.0,7.17,7.07,4.47
1.32,3,3,2,60.6,58.0,7.12,7.06,4.3
1.9,2,5,3,60.9,55.0,8.0,8.06,4.89
1.02,2,3,4,61.5,55.0,6.49,6.52,4.0
1.05,3,1,2,61.8,56.0,6.57,6.5,4.04
0.3,2,3,4,61.7,57.0,4.32,4.3,2.66
0.58,2,3,3,62.0,57.0,5.35,5.29,3.3
0.37,2,0,5,61.3,56.0,4.64,4.6,2.83
0.41,3,2,7,61.0,59.0,4.82,4.79,2.93
0.7,0,4,2,65.2,58.0,5.49,5.55,3.6
0.51,4,0,5,62.0,59.0,5.08,5.12,3.16
0.72,4,1,5,63.8,57.0,5.66,5.69,3.62
1.01,1,5,3,62.6,59.0,6.34,6.43,4.0
0.3,1,5,4,63.3,59.0,4.2,4.23,2.67
0.52,1,2,4,61.2,62.0,5.12,5.05,3.11
0.91,1,3,3,63.6,56.0,6.14,6.09,3.89
1.01,2,4,2,61.2,57.0,6.42,6.47,3.95
0.4,2,6,2,61.2,56.0,4.77,4.81,2.93
0.8,3,3,1,62.6,58.0,5.93,5.89,3.7
0.73,2,5,4,61.6,55.0,5.77,5.79,3.56
0.4,3,2,5,59.3,59.0,4.79,4.83,2.85
1.51,4,2,3,63.4,57.0,7.29,7.25,4.61
1.04,2,2,2,62.1,56.0,6.54,6.47,4.04
1.01,3,4,4,61.1,58.0,6.48,6.45,3.95
1.39,3,3,2,61.3,59.0,7.24,7.15,4.41
0.72,4,4,5,61.4,57.0,5.75,5.79,3.54
1.53,3,2,5,58.5,60.0,7.62,7.56,4.44
1.13,4,2,7,59.6,59.0,6.82,6.87,4.08
1.12,3,2,3,60.5,59.0,6.79,6.73,4.09
0.54,2,4,2,62.2,56.0,5.26,5.19,3.25
1.01,1,3,4,63.8,57.0,6.38,6.35,4.06
0.9,3,0,3,62.5,59.0,6.18,6.13,3.85
1.7,2,1,2,60.1,57.0,7.71,7.74,4.64
1.02,2,2,3,61.6,56.0,6.52,6.49,4.01
0.3,4,4,1,62.9,58.0,4.26,4.29,2.69
0.54,3,4,7,60.6,60.0,5.29,5.31,3.21
0.32,3,3,4,60.6,60.0,4.4,4.44,2.68
1.5,4,6,5,60.5,63.0,7.32,7.27,4.41
0.7,2,4,3,61.6,54.0,5.71,5.75,3.53
0.3,4,3,7,63.2,57.0,4.27,4.24,2.69
0.7,2,1,2,60.6,57.0,5.76,5.79,3.5
0.3,2,0,2,61.9,54.0,4.32,4.34,2.68
0.83,2,0,2,61.9,56.0,6.01,6.04,3.73
1.2,1,3,5,64.0,59.0,6.8,6.63,4.3
0.7,2,6,2,62.1,54.0,5.72,5.74,3.56
0.54,2,2,6,61.6,55.0,5.27,5.28,3.25
2.16,3,5,2,58.5,60.0,8.54,8.49,4.98
0.31,4,5,6,63.1,59.0,4.31,4.25,2.7
0.3,2,3,6,62.7,54.0,4.3,4.34,2.71
0.34,2,1,4,61.2,57.0,4.45,4.51,2.74
0.37,3,2,2,61.5,59.0,4.59,4.62,2.83
0.3,4,0,5,62.8,57.0,4.29,4.31,2.7
0.3,1,0,5,63.1,58.0,4.26,4.3,2.7
1.01,4,5,2,64.2,55.0,6.28,6.34,4.05
0.37,2,2,6,59.2,57.0,4.75,4.71,2.8
1.02,2,5,2,62.0,56.0,6.44,6.46,4.0
0.31,2,3,6,62.6,53.0,4.37,4.38,2.74
0.9,4,2,4,62.5,58.0,6.1,6.15,3.83
1.05,2,2,6,61.4,57.0,6.51,6.53,4.0
0.35,4,0,4,63.0,57.0,4.48,4.51,2.83
0.41,4,3,4,60.6,56.0,4.83,4.87,2.94
1.46,4,5,2,62.8,57.0,7.13,7.21,4.5
1.06,2,1,5,61.8,55.0,6.59,6.51,4.05
1.3,2,3,4,62.0,55.0,7.02,6.98,4.34
1.5,2,5,0,61.3,57.0,7.36,7.39,4.52
0.51,4,1,2,62.5,57.0,5.06,5.09,3.17
0.77,2,3,5,62.1,56.0,5.84,5.88,3.64
0.31,2,4,2,61.5,56.0,4.36,4.39,2.69
0.43,3,0,2,61.0,57.0,4.88,4.85,2.97
0.29,1,1,7,63.2,60.0,4.17,4.19,2.64
0.32,3,4,5,59.5,58.0,4.5,4.47,2.67
1.01,2,3,5,61.6,57.0,6.41,6.44,3.96
0.3,2,4,7,61.5,56.0,4.33,4.35,2.67
1.56,2,4,3,62.3,55.0,7.39,7.35,4.59
0.31,2,5,6,62.0,54.0,4.37,4.4,2.72
1.5,1,0,3,60.2,65.0,7.37,7.34,4.43
0.81,2,2,2,61.5,57.0,6.01,6.06,3.71
0.9,2,4,3,61.8,56.0,6.17,6.2,3.82
0.5,3,1,5,58.1,61.0,5.23,5.17,3.02
0.33,4,0,6,62.1,58.0,4.39,4.46,2.75
0.46,2,5,7,61.4,57.0,4.96,5.0,3.06
1.31,2,3,4,60.5,57.0,7.1,7.14,4.31
0.34,2,3,5,62.0,55.0,4.46,4.48,2.77
0.26,4,1,7,59.9,58.0,4.15,4.23,2.51
0.31,3,1,2,62.7,58.0,4.32,4.35,2.72
1.09,3,5,5,60.1,59.0,6.74,6.67,4.03
1.26,2,3,3,60.9,55.0,7.05,7.0,4.28
0.31,2,2,4,60.7,56.0,4.37,4.39,2.66
0.3,3,3,4,62.5,59.0,4.32,4.25,2.68
0.31,2,3,6,60.9,55.0,4.4,4.43,2.69
0.42,2,0,6,61.8,55.0,4.83,4.85,2.99
0.3,4,0,7,60.6,58.0,4.33,4.35,2.63
1.03,3,0,3,61.7,58.0,6.5,6.47,4.0
1.01,1,0,2,58.3,59.0,6.59,6.61,3.85
0.9,3,4,4,60.2,58.0,6.32,6.28,3.79
0.38,2,1,4,61.6,56.0,4.65,4.7,2.88
0.53,2,3,2,61.6,57.0,5.19,5.24,3.21
0.71,3,2,3,60.2,60.0,5.8,5.77,3.48
0.3,2,1,5,61.2,55.0,4.31,4.35,2.65
1.02,4,4,3,63.4,63.0,6.36,6.32,4.02
0.9,4,0,2,60.4,59.0,6.21,6.24,3.76
0.36,2,0,2,62.8,57.0,4.54,4.51,2.84
0.23,4,0,7,63.5,58.0,3.86,3.89,2.46
1.0,3,1,6,60.3,54.0,6.59,6.47,3.94
0.35,2,0,5,62.3,55.0,4.52,4.54,2.82
1.14,4,1,3,62.6,56.0,6.63,6.69,4.17
1.22,4,3,4,61.2,58.0,6.85,6.9,4.21
1.91,3,5,2,60.9,53.0,8.11,8.07,4.93
0.7,1,0,2,58.8,64.0,5.74,5.79,3.39
0.5,3,1,2,62.4,60.0,4.98,4.96,3.1
0.58,1,1,4,61.5,61.9,5.3,5.34,3.27
0.3,2,1,7,61.4,55.0,4.33,4.36,2.67
1.37,3,4,4,60.9,59.0,7.17,7.24,4.39
0.51,2,2,3,60.2,55.0,5.19,5.24,3.14
0.38,4,0,5,63.1,55.0,4.6,4.59,2.9
0.5,0,3,3,65.6,56.0,4.99,4.92,3.25
1.27,3,3,5,61.0,60.0,6.97,6.93,4.24
1.05,1,3,3,63.2,54.0,6.49,6.52,4.11
1.5,2,5,2,62.3,56.0,7.35,7.41,4.6
0.34,2,1,4,60.8,57.0,4.53,4.49,2.74
1.69,3,2,3,62.4,58.0,7.65,7.57,4.75
1.09,3,4,3,61.2,62.0,6.63,6.58,4.04
0.7,1,1,7,60.1,63.0,5.68,5.71,3.42
1.0,3,1,3,60.4,62.0,6.52,6.42,3.91
0.64,4,3,2,64.0,53.8,5.49,5.53,3.53
1.2,4,4,6,63.3,56.0,6.75,6.7,4.26
1.21,2,3,5,61.8,57.0,6.83,6.79,4.21
0.73,2,1,3,62.8,55.0,5.73,5.76,3.61
0.51,3,3,5,62.3,59.0,5.1,5.07,3.17
0.5,3,0,2,62.1,58.0,5.1,5.07,3.16
0.81,2,4,1,61.6,58.0,5.98,6.01,3.69
0.33,3,3,4,61.3,58.0,4.42,4.45,2.72
0.36,3,1,5,61.3,60.0,4.54,4.59,2.8
1.51,3,4,5,61.2,59.0,7.4,7.38,4.52
0.34,2,2,6,61.4,55.0,4.52,4.54,2.78
0.32,2,0,5,61.1,56.0,4.41,4.39,2.69
0.31,2,3,1,61.9,56.0,4.39,4.36,2.71
0.34,4,4,2,63.3,56.0,4.46,4.45,2.82
0.33,2,3,4,62.1,54.0,4.42,4.47,2.76
0.58,2,0,4,61.4,57.0,5.41,5.34,3.3
0.53,4,3,7,60.5,59.0,5.24,5.29,3.19
1.2,1,1,5,63.7,57.0,6.71,6.64,4.25
0.36,2,4,5,62.0,55.0,4.58,4.63,2.86
0.27,4,1,6,62.3,56.0,4.16,4.19,2.6
0.67,1,3,2,62.9,59.0,5.58,5.62,3.52
0.9,3,4,5,61.6,58.0,6.26,6.18,3.83
1.6,2,2,2,62.2,55.0,7.47,7.5,4.65
1.05,3,4,3,63.0,59.0,6.48,6.44,4.07
2.1,2,4,5,62.5,57.0,8.21,8.18,5.12
0.72,2,1,2,60.8,57.0,5.77,5.8,3.52
0.41,2,0,5,61.6,55.0,4.74,4.77,2.93
0.31,2,3,2,62.8,55.0,4.38,4.32,2.73
0.26,2,4,4,62.2,55.0,4.12,4.14,2.57
0.23,2,2,4,61.4,55.0,3.96,3.99,2.44
1.05,3,3,4,61.6,58.0,6.51,6.48,4.0
0.41,3,1,4,59.9,58.0,4.88,4.83,2.91
0.41,2,4,6,61.4,56.0,4.8,4.77,2.94
1.04,3,1,3,61.0,60.0,6.57,6.52,3.99
0.43,3,2,5,61.0,57.0,4.87,4.84,2.96
1.0,3,1,5,60.0,60.0,6.43,6.43,3.89
0.41,3,0,2,62.1,59.0,4.74,4.76,2.95
1.1,2,4,3,62.0,55.0,6.61,6.65,4.11
0.41,3,4,2,60.9,60.0,4.79,4.83,2.93
1.29,2,4,2,63.2,57.0,6.89,6.96,4.38
1.5,4,4,3,62.3,60.0,7.28,7.22,4.52
0.32,2,3,5,59.8,57.0,4.43,4.46,2.66
1.01,3,2,3,60.0,59.0,6.47,6.41,3.86
1.0,4,0,3,63.5,59.0,6.35,6.32,4.02
0.31,4,3,4,63.2,56.0,4.32,4.29,2.72
0.29,4,4,7,61.7,55.0,4.27,4.3,2.64
0.52,2,4,5,61.8,56.0,5.19,5.16,3.2
0.3,1,3,5,63.1,57.0,4.24,4.28,2.69
0.31,2,1,5,62.0,55.0,4.34,4.37,2.7
1.33,2,5,5,62.6,55.0,7.01,7.05,4.4
1.04,3,1,6,60.9,58.0,6.53,6.61,4.0
0.56,2,0,4,62.6,59.0,5.24,5.31,3.3
0.34,3,5,6,62.4,59.0,4.4,4.44,2.76
1.25,3,4,5,60.4,59.0,6.92,6.96,4.19
4.13,0,4,0,64.8,61.0,10.0,9.85,6.43
0.4,1,4,5,59.4,64.0,4.82,4.75,2.84
0.92,2,1,3,62.3,56.0,6.21,6.25,3.88
1.08,2,4,2,60.6,59.0,6.61,6.65,4.02
2.01,0,6,2,64.4,61.0,7.74,7.78,5.0
0.23,4,1,7,62.5,55.0,3.94,3.96,2.47
1.57,2,5,2,61.7,56.0,7.45,7.48,4.61
0.7,1,6,2,64.3,56.0,5.62,5.57,3.6
0.4,4,2,4,62.2,57.6,4.74,4.76,2.96
0.3,2,5,2,62.2,57.0,4.27,4.25,2.65
0.23,4,0,6,59.7,58.0,3.97,4.04,2.39
0.43,2,2,6,62.3,55.0,4.88,4.85,3.03
0.51,1,2,2,63.6,56.0,5.08,5.11,3.24
0.31,3,6,4,61.8,59.0,4.33,4.31,2.67
1.57,2,5,5,62.8,57.0,7.46,7.37,4.66
0.42,3,0,3,60.1,58.0,4.88,4.83,2.92
0.32,2,0,6,61.9,56.0,4.39,4.36,2.71
0.31,2,1,2,62.7,54.0,4.35,4.36,2.73
1.3,2,4,5,62.9,56.0,7.0,6.96,4.39
1.01,2,3,2,62.6,56.0,6.41,6.44,4.02
1.56,4,4,5,63.1,60.0,7.43,7.34,4.66
0.4,2,4,3,62.6,55.0,4.7,4.72,2.95
0.31,4,2,6,59.2,62.0,4.34,4.41,2.59
1.01,4,4,5,62.1,57.0,6.39,6.45,3.99
0.32,2,0,4,60.4,56.0,4.44,4.46,2.69
0.53,2,1,5,61.9,56.0,5.21,5.19,3.22
0.28,2,3,1,61.3,57.0,4.25,4.27,2.6
0.3,2,3,1,61.7,55.0,4.34,4.31,2.67
0.33,2,0,3,62.9,56.0,4.43,4.41,2.78
1.01,4,3,2,63.4,58.0,6.29,6.4,4.02
0.92,1,1,3,61.8,59.0,6.11,6.19,3.8
0.37,4,2,5,59.2,61.0,4.63,4.69,2.76
0.32,4,3,4,60.8,56.0,4.45,4.48,2.71
0.56,2,5,6,61.1,55.0,5.33,5.35,3.26
1.04,4,3,5,63.4,55.0,6.48,6.42,4.09
0.31,3,0,5,61.2,59.0,4.37,4.32,2.66
0.42,4,2,2,62.9,57.0,4.73,4.77,2.99
